FEN,Bewertung
8/6p1/1r4kp/8/5P2/N4K2/1P3P2/8 w - - 13 39,-268
8/6p1/1r4kp/8/2N2P2/5K2/1P3P2/8 b - - 14 39,266
8/6p1/6kp/8/1rN2P2/5K2/1P3P2/8 w - - 15 40,-266
8/6p1/6kp/8/1r3P2/4NK2/1P3P2/8 b - - 16 40,265
8/6p1/6kp/8/5P2/4NK2/1r3P2/8 w - - 0 41,-266
8/6p1/6kp/8/5P2/4N1K1/1r3P2/8 b - - 1 41,265
8/5kp1/7p/8/5P2/4N1K1/1r3P2/8 w - - 2 42,-265
8/5kp1/7p/3N4/5P2/6K1/1r3P2/8 b - - 3 42,266
8/5kp1/7p/3N4/5P2/6K1/5P2/1r6 w - - 4 43,-263
8/5kp1/7p/3N4/5PK1/8/5P2/1r6 b - - 5 43,262
8/6p1/6kp/3N4/5PK1/8/5P2/1r6 w - - 6 44,-260
8/6p1/6kp/8/5PK1/4N3/5P2/1r6 b - - 7 44,258
8/5kp1/7p/8/5PK1/4N3/5P2/1r6 w - - 8 45,-267
8/5kp1/7p/8/5P2/4N1K1/5P2/1r6 b - - 9 45,258
8/5kp1/7p/8/5P2/4N1K1/1r3P2/8 w - - 10 46,-255
8/5kp1/7p/3N4/5P2/6K1/1r3P2/8 b - - 11 46,255
8/5kp1/7p/3N4/5P2/6K1/5P2/1r6 w - - 12 47,-258
8/5kp1/7p/3N4/5PK1/8/5P2/1r6 b - - 13 47,254
8/5kp1/7p/1r1N4/5PK1/8/5P2/8 w - - 14 48,-274
8/5kp1/7p/1r6/5PK1/4N3/5P2/8 b - - 15 48,274
8/5kp1/7p/8/1r3PK1/4N3/5P2/8 w - - 16 49,-281
8/5kp1/7p/3N4/1r3PK1/8/5P2/8 b - - 17 49,277
8/5kp1/7p/1r1N4/5PK1/8/5P2/8 w - - 18 50,-271
8/5kp1/7p/1r6/5PK1/4N3/5P2/8 b - - 19 50,267
8/5kp1/7p/8/1r3PK1/4N3/5P2/8 w - - 20 51,-267
8/5kp1/7p/8/1r3P2/4N1K1/5P2/8 b - - 21 51,289
8/6p1/4k2p/8/1r3P2/4N1K1/5P2/8 w - - 22 52,-279
8/6p1/4k2p/8/1r3PK1/4N3/5P2/8 b - - 23 52,346
8/8/4k2p/6p1/1r3PK1/4N3/5P2/8 w - - 0 53,-374
8/8/4k2p/6p1/1r3PK1/8/5PN1/8 b - - 1 53,388
8/8/4k2p/8/1r3pK1/8/5PN1/8 w - - 0 54,-410
8/8/4k2p/8/1r3pKN/8/5P2/8 b - - 1 54,425
8/8/7p/4k3/1r3pKN/8/5P2/8 w - - 2 55,-466
8/8/7p/4k3/1r3pKN/5P2/8/8 b - - 0 55,490
8/8/1r5p/4k3/5pKN/5P2/8/8 w - - 1 56,-506
8/8/1r5p/4k2K/5p1N/5P2/8/8 b - - 2 56,528
8/8/7p/4k2K/5p1N/5P2/8/1r6 w - - 3 57,-535
8/8/6Np/4k2K/5p2/5P2/8/1r6 b - - 4 57,547
8/8/6Np/5k1K/5p2/5P2/8/1r6 w - - 5 58,-481
8/8/7p/5k1K/5p1N/5P2/8/1r6 b - - 6 58,539
8/8/5k1p/7K/5p1N/5P2/8/1r6 w - - 7 59,-552
8/8/5k1p/8/5pKN/5P2/8/1r6 b - - 8 59,549
8/8/5k1p/8/5pKN/5P2/8/7r w - - 9 60,-511
8/8/5k1p/5N2/5pK1/5P2/8/7r b - - 10 60,571
8/8/7p/4kN2/5pK1/5P2/8/7r w - - 11 61,-573
8/4N3/7p/4k3/5pK1/5P2/8/7r b - - 12 61,581
8/4N3/7p/4k3/5pK1/5P2/8/6r1 w - - 13 62,-600
8/4N3/7p/4k3/5p1K/5P2/8/6r1 b - - 14 62,603
8/4N3/4k2p/8/5p1K/5P2/8/6r1 w - - 15 63,-581
8/8/2N1k2p/8/5p1K/5P2/8/6r1 b - - 16 63,601
8/8/2N1k2p/8/5p1K/5P2/8/2r5 w - - 17 64,-552
3N4/8/4k2p/8/5p1K/5P2/8/2r5 b - - 18 64,614
3N4/8/7p/5k2/5p1K/5P2/8/2r5 w - - 19 65,-621
3N4/8/7p/5k2/5p2/5P1K/8/2r5 b - - 20 65,647
3N4/8/7p/5k2/5p2/2r2P1K/8/8 w - - 21 66,-654
3N4/8/7p/5k2/5p2/2r2P2/6K1/8 b - - 22 66,668
3N4/8/7p/5k2/5p2/5P2/2r3K1/8 w - - 23 67,-675
3N4/8/7p/5k2/5p2/5P1K/2r5/8 b - - 24 67,682
3N4/8/7p/5k2/5p2/5P1K/5r2/8 w - - 25 68,-694
8/5N2/7p/5k2/5p2/5P1K/5r2/8 b - - 26 68,705
8/5N2/7p/5k2/5p2/5r1K/8/8 w - - 0 69,-708
8/5N2/7p/5k2/5p1K/5r2/8/8 b - - 1 69,712
8/5N2/8/5k1p/5p1K/5r2/8/8 w - - 0 70,-571
8/8/3N4/5k1p/5p1K/5r2/8/8 b - - 1 70,672
8/8/3N2k1/7p/5p1K/5r2/8/8 w - - 2 71,-668
2N5/8/6k1/7p/5p1K/5r2/8/8 b - - 3 71,706
2N5/8/6k1/7p/5p1K/8/5r2/8 w - - 4 72,-660
2N5/8/6k1/7p/5p2/7K/5r2/8 b - - 5 72,663
2N5/8/8/6kp/5p2/7K/5r2/8 w - - 6 73,-689
8/4N3/8/6kp/5p2/7K/5r2/8 b - - 7 73,722
8/4N3/8/6kp/5p2/5r1K/8/8 w - - 8 74,-728
8/4N3/8/6kp/5p2/5r2/7K/8 b - - 9 74,737
8/4N3/8/6kp/5p2/6r1/7K/8 w - - 10 75,-1092
8/8/2N5/6kp/5p2/6r1/7K/8 b - - 11 75,6183
8/8/2N5/6k1/5p1p/6r1/7K/8 w - - 0 76,-10000
8/4N3/8/6k1/5p1p/6r1/7K/8 b - - 1 76,10000
8/4N3/8/6k1/7p/5pr1/7K/8 w - - 0 77,-10000
8/8/8/3N2k1/7p/5pr1/7K/8 b - - 1 77,10000
8/8/8/3N2k1/7p/6r1/5p1K/8 w - - 0 78,-10000
8/8/8/6k1/7p/4N1r1/5p1K/8 b - - 1 78,10000
8/8/8/6k1/7p/4r3/5p1K/8 w - - 0 79,-10000
8/8/8/6k1/7p/4r3/5pK1/8 b - - 1 79,10000
8/8/8/8/5k1p/4r3/5pK1/8 w - - 2 80,-10000
8/8/8/8/5k1p/4r3/5p2/5K2 b - - 3 80,10000
8/8/8/8/5k1p/5r2/5p2/5K2 w - - 4 81,-10000
8/8/8/8/5k1p/5r2/4Kp2/8 b - - 5 81,10000
8/8/8/8/5k1p/5r2/4K3/5q2 w - - 0 82,-10000
8/8/8/8/5k1p/5r2/3K4/5q2 b - - 1 82,10000
8/8/8/8/5k1p/5r2/3K2q1/8 w - - 2 83,-10000
8/8/8/8/5k1p/5r2/6q1/2K5 b - - 3 83,10000
8/8/8/8/5k1p/8/6q1/2K2r2 w - - 4 84,-10000
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-28
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,35
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,-37
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,38
rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-29
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,30
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,-36
rnbqkb1r/pp2nppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,24
rnbqkb1r/pp2nppp/4p3/2ppP3/3P4/2PB4/PP3PPP/RNBQK1NR b KQkq - 2 5,-38
r1bqkb1r/pp2nppp/2n1p3/2ppP3/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq - 3 6,38
r1bqkb1r/pp2nppp/2n1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 4 6,-23
r1bqkb1r/pp3ppp/2n1p3/2ppPn2/3P4/2PB1N2/PP3PPP/RNBQK2R w KQkq - 5 7,40
r1bqkb1r/pp3ppp/2n1p3/2ppPn2/3P4/2P2N2/PPB2PPP/RNBQK2R b KQkq - 6 7,-28
r1bqkb1r/p4ppp/1pn1p3/2ppPn2/3P4/2P2N2/PPB2PPP/RNBQK2R w KQkq - 0 8,43
r1bqkb1r/p4ppp/1pn1p3/2ppPnB1/3P4/2P2N2/PPB2PPP/RN1QK2R b KQkq - 1 8,-1
r1b1kb1r/p1q2ppp/1pn1p3/2ppPnB1/3P4/2P2N2/PPB2PPP/RN1QK2R w KQkq - 2 9,26
r1b1kb1r/p1q2ppp/1pn1p3/2ppPnB1/3P4/N1P2N2/PPB2PPP/R2QK2R b KQkq - 3 9,-21
r1b1kb1r/p1q2pp1/1pn1p2p/2ppPnB1/3P4/N1P2N2/PPB2PPP/R2QK2R w KQkq - 0 10,52
r1b1kb1r/p1q2pp1/1pn1p2p/2ppPn2/3P4/N1P2N2/PPBB1PPP/R2QK2R b KQkq - 1 10,-50
r3kb1r/p1q2pp1/bpn1p2p/2ppPn2/3P4/N1P2N2/PPBB1PPP/R2QK2R w KQkq - 2 11,62
r3kb1r/p1q2pp1/bpn1p2p/2ppPn2/3P2P1/N1P2N2/PPBB1P1P/R2QK2R b KQkq - 0 11,-73
r3kb1r/p1q1npp1/bpn1p2p/2ppP3/3P2P1/N1P2N2/PPBB1P1P/R2QK2R w KQkq - 1 12,80
r3kb1r/p1q1npp1/bpn1p2p/2ppP3/1P1P2P1/N1P2N2/P1BB1P1P/R2QK2R b KQkq - 0 12,-57
r3kb1r/p1q2pp1/bpn1p1np/2ppP3/1P1P2P1/N1P2N2/P1BB1P1P/R2QK2R w KQkq - 1 13,67
r3kb1r/p1q2pp1/bpn1p1np/2ppP3/BP1P2P1/N1P2N2/P2B1P1P/R2QK2R b KQkq - 2 13,-72
r3kb1r/p1q2pp1/bpn1p1np/3pP3/BP1p2P1/N1P2N2/P2B1P1P/R2QK2R w KQkq - 0 14,70
r3kb1r/p1q2pp1/bpn1p1np/3pP3/BP1P2P1/N4N2/P2B1P1P/R2QK2R b KQkq - 0 14,-58
r3kb1r/pbq2pp1/1pn1p1np/3pP3/BP1P2P1/N4N2/P2B1P1P/R2QK2R w KQkq - 1 15,66
r3kb1r/pbq2pp1/1pn1p1np/3pP3/BP1P2PP/N4N2/P2B1P2/R2QK2R b KQkq - 0 15,-83
r3kb1r/1bq2pp1/ppn1p1np/3pP3/BP1P2PP/N4N2/P2B1P2/R2QK2R w KQkq - 0 16,80
r3kb1r/1bq2pp1/ppn1p1np/3pP2P/BP1P2P1/N4N2/P2B1P2/R2QK2R b KQkq - 0 16,-92
r3kb1r/1bq2pp1/ppn1p2p/3pP2P/BP1P1nP1/N4N2/P2B1P2/R2QK2R w KQkq - 1 17,111
r3kb1r/1bq2pp1/ppn1p2p/1P1pP2P/B2P1nP1/N4N2/P2B1P2/R2QK2R b KQkq - 0 17,-128
r3kb1r/1bq2pp1/pp2p2p/1P1pP2P/B2n1nP1/N4N2/P2B1P2/R2QK2R w KQkq - 0 18,155
r3kb1r/1bq2pp1/pp2p2p/1P1pP2P/B2n1BP1/N4N2/P4P2/R2QK2R b KQkq - 0 18,-126
r3kb1r/1bq2pp1/pp2p2p/1P1pP2P/B4BP1/N4n2/P4P2/R2QK2R w KQkq - 0 19,121
r3kb1r/1bq2pp1/pp2p2p/1P1pP2P/B4BP1/N4Q2/P4P2/R3K2R b KQkq - 0 19,-109
r3k2r/1bq2pp1/pp2p2p/1P1pP2P/Bb3BP1/N4Q2/P4P2/R3K2R w KQkq - 1 20,104
r3k2r/1bq2pp1/pp2p2p/1P1pP2P/Bb3BP1/N4Q2/P3KP2/R6R b kq - 2 20,-108
r4rk1/1bq2pp1/pp2p2p/1P1pP2P/Bb3BP1/N4Q2/P3KP2/R6R w - - 3 21,95
r4rk1/1bq2pp1/pp2p2p/1P1pP2P/Bb3BP1/N4Q2/P3KP2/R1R5 b - - 4 21,-71
r4rk1/1b2qpp1/pp2p2p/1P1pP2P/Bb3BP1/N4Q2/P3KP2/R1R5 w - - 5 22,120
r4rk1/1b2qpp1/pp2p2p/1P1pP2P/Bb3BP1/5Q2/P1N1KP2/R1R5 b - - 6 22,-115
r4rk1/1b2qpp1/1p2p2p/1p1pP2P/Bb3BP1/5Q2/P1N1KP2/R1R5 w - - 0 23,139
r4rk1/1b2qpp1/1p2p2p/1p1pP2P/BN3BP1/5Q2/P3KP2/R1R5 b - - 0 23,-140
r4rk1/1b2qpp1/1p2p2p/3pP2P/pN3BP1/5Q2/P3KP2/R1R5 w - - 0 24,156
r4rk1/1b2qpp1/1p2p2p/3pP2P/pN3BP1/P4Q2/4KP2/R1R5 b - - 0 24,-135
r4rk1/1b2q1p1/1p2p2p/3pPp1P/pN3BP1/P4Q2/4KP2/R1R5 w - f6 0 25,220
r4rk1/1b2q1p1/1pN1p2p/3pPp1P/p4BP1/P4Q2/4KP2/R1R5 b - - 1 25,-242
r4rk1/1b4p1/1pN1p2p/3pPp1P/p4BPq/P4Q2/4KP2/R1R5 w - - 2 26,278
r4rk1/1b4p1/1pN1p2p/3pPp1P/p4BPq/P5Q1/4KP2/R1R5 b - - 3 26,-267
r4rk1/1b4p1/1pN1p2p/3pPp1P/p4Bq1/P5Q1/4KP2/R1R5 w - - 0 27,271
r4rk1/1b4p1/1pN1p2p/3pPp1P/p4BQ1/P7/4KP2/R1R5 b - - 0 27,-253
r4rk1/1b4p1/1pN1p2p/3pP2P/p4Bp1/P7/4KP2/R1R5 w - - 0 28,262
r4rk1/1b4p1/1pN1p2p/3pP2P/p5p1/P3B3/4KP2/R1R5 b - - 1 28,-268
r4rk1/6p1/bpN1p2p/3pP2P/p5p1/P3B3/4KP2/R1R5 w - - 2 29,319
r4rk1/6p1/bpN1p2p/3pP2P/p5p1/P3B3/3K1P2/R1R5 b - - 3 29,-359
r4rk1/6p1/bpN1p2p/3pP2P/p7/P3B1p1/3K1P2/R1R5 w - - 0 30,335
r4rk1/6p1/bpN1p2p/3pP2P/p7/P3B1P1/3K4/R1R5 b - - 0 30,-341
r4rk1/6p1/1pN1p2p/3pP2P/p1b5/P3B1P1/3K4/R1R5 w - - 1 31,323
r4rk1/6p1/1p2p2p/3pP2P/p1bN4/P3B1P1/3K4/R1R5 b - - 2 31,-328
1r3rk1/6p1/1p2p2p/3pP2P/p1bN4/P3B1P1/3K4/R1R5 w - - 3 32,366
1r3rk1/6p1/1p2p2p/3pP2P/p1bN2P1/P3B3/3K4/R1R5 b - - 0 32,-334
1r2r1k1/6p1/1p2p2p/3pP2P/p1bN2P1/P3B3/3K4/R1R5 w - - 1 33,358
1r2r1k1/6p1/1p2p2p/3pP2P/p1bN2P1/P3B3/3K4/R5R1 b - - 2 33,-369
1r2r1k1/6p1/4p2p/1p1pP2P/p1bN2P1/P3B3/3K4/R5R1 w - - 0 34,372
1r2r1k1/6p1/4p2p/1p1pP1PP/p1bN4/P3B3/3K4/R5R1 b - - 0 34,-389
1r2r1k1/6p1/4p3/1p1pP1pP/p1bN4/P3B3/3K4/R5R1 w - - 0 35,395
1r2r1k1/6p1/4p3/1p1pP1RP/p1bN4/P3B3/3K4/R7 b - - 0 35,-394
1r2r1k1/6p1/4p3/3pP1RP/ppbN4/P3B3/3K4/R7 w - - 0 36,403
1r2r1k1/6p1/4p3/3pP1RP/ppbN4/P3B3/3K4/6R1 b - - 1 36,-410
4r1k1/1r4p1/4p3/3pP1RP/ppbN4/P3B3/3K4/6R1 w - - 2 37,406
4r1k1/1r4p1/4p3/3pP1RP/pPbN4/4B3/3K4/6R1 b - - 0 37,-434
4r1k1/1r4p1/4p3/3pP1RP/1PbN4/p3B3/3K4/6R1 w - - 0 38,413
4r1k1/1r4p1/4p2P/3pP1R1/1PbN4/p3B3/3K4/6R1 b - - 0 38,-428
6k1/1r2r1p1/4p2P/3pP1R1/1PbN4/p3B3/3K4/6R1 w - - 1 39,420
6k1/1r2r1p1/2N1p2P/3pP1R1/1Pb5/p3B3/3K4/6R1 b - - 2 39,-419
6k1/1r1r2p1/2N1p2P/3pP1R1/1Pb5/p3B3/3K4/6R1 w - - 3 40,428
6k1/1r1r2p1/2N1p2P/2BpP1R1/1Pb5/p7/3K4/6R1 b - - 4 40,-420
6k1/1r1r2p1/2N1p2P/2BpP1R1/1Pb5/8/p2K4/6R1 w - - 0 41,443
6k1/1r1r2p1/4p2P/N1BpP1R1/1Pb5/8/p2K4/6R1 b - - 1 41,-469
1r4k1/3r2p1/4p2P/N1BpP1R1/1Pb5/8/p2K4/6R1 w - - 2 42,476
1r4k1/3r2R1/4p2P/N1BpP3/1Pb5/8/p2K4/6R1 b - - 0 42,-427
1r4k1/6r1/4p2P/N1BpP3/1Pb5/8/p2K4/6R1 w - - 0 43,430
1r4k1/6P1/4p3/N1BpP3/1Pb5/8/p2K4/6R1 b - - 0 43,-427
2r3k1/6P1/4p3/N1BpP3/1Pb5/8/p2K4/6R1 w - - 1 44,518
2r2Bk1/6P1/4p3/N2pP3/1Pb5/8/p2K4/6R1 b - - 2 44,-526
2r2Bk1/6P1/b3p3/N2pP3/1P6/8/p2K4/6R1 w - - 3 45,612
2r2Bk1/6P1/b3p3/N2pP3/1P6/8/p2K4/7R b - - 4 45,-632
5rk1/6P1/b3p3/N2pP3/1P6/8/p2K4/7R w - - 0 46,634
5Qk1/8/b3p3/N2pP3/1P6/8/p2K4/7R b - - 0 46,-633
5k2/8/b3p3/N2pP3/1P6/8/p2K4/7R w - - 0 47,632
5k2/8/b3p3/N2pP3/1P6/8/p2K4/R7 b - - 1 47,-637
5k2/8/b3p3/N3P3/1P1p4/8/p2K4/R7 w - - 0 48,649
5k2/8/b3p3/N3P3/1P1p4/8/R2K4/8 b - - 0 48,-670
4k3/8/b3p3/N3P3/1P1p4/8/R2K4/8 w - - 1 49,693
4k3/8/b3p3/4P3/1P1p4/1N6/R2K4/8 b - - 2 49,-699
4k3/8/4p3/4P3/1Pbp4/1N6/R2K4/8 w - - 3 50,716
R3k3/8/4p3/4P3/1Pbp4/1N6/3K4/8 b - - 4 50,-731
R7/3k4/4p3/4P3/1Pbp4/1N6/3K4/8 w - - 5 51,758
R7/3k4/4p3/N3P3/1Pbp4/8/3K4/8 b - - 6 51,-692
R7/3k4/4p3/Nb2P3/1P1p4/8/3K4/8 w - - 7 52,710
8/R2k4/4p3/Nb2P3/1P1p4/8/3K4/8 b - - 8 52,-767
2k5/R7/4p3/Nb2P3/1P1p4/8/3K4/8 w - - 9 53,775
2k5/4R3/4p3/Nb2P3/1P1p4/8/3K4/8 b - - 10 53,-779
2k5/4R3/b3p3/N3P3/1P1p4/8/3K4/8 w - - 11 54,815
2k5/8/b3R3/N3P3/1P1p4/8/3K4/8 b - - 0 54,-713
2k5/8/4R3/Nb2P3/1P1p4/8/3K4/8 w - - 1 55,768
2k5/8/1R6/Nb2P3/1P1p4/8/3K4/8 b - - 2 55,-831
2k5/8/1R6/N3P3/bP1p4/8/3K4/8 w - - 3 56,860
2k5/8/1R6/NP2P3/b2p4/8/3K4/8 b - - 0 56,-840
