FEN,Bewertung
6k1/2R3p1/7p/7P/5P2/5K2/5P2/6r1 b - - 14 41,0
6k1/2R3p1/7p/7P/5P2/5K2/5P2/7r w - - 15 42,0
6k1/2R3p1/7p/7P/5PK1/8/5P2/7r b - - 16 42,0
6k1/2R3p1/7p/7P/5PK1/8/5P2/6r1 w - - 17 43,0
6k1/2R3p1/7p/7P/5P2/5K2/5P2/6r1 b - - 18 43,0
6k1/2R3p1/7p/7P/5P2/5K2/5P2/7r w - - 19 44,0
6k1/2R3p1/7p/7P/5PK1/8/5P2/7r b - - 20 44,0
6k1/2R3p1/7p/7P/5PK1/8/5P2/6r1 w - - 21 45,0
6k1/2R3p1/7p/7P/5P2/5K2/5P2/6r1 b - - 22 45,0
6k1/2R3p1/7p/7P/5P2/5K2/5P2/7r w - - 23 46,0
2R3k1/6p1/7p/7P/5P2/5K2/5P2/7r b - - 24 46,0
2R5/5kp1/7p/7P/5P2/5K2/5P2/7r w - - 25 47,0
8/5kp1/7p/2R4P/5P2/5K2/5P2/7r b - - 26 47,0
8/5kp1/7p/2R4P/5P2/5K2/5P2/6r1 w - - 27 48,0
8/5kp1/7p/2R2P1P/8/5K2/5P2/6r1 b - - 0 48,0
8/5kp1/7p/2R2P1P/8/5K2/5P2/7r w - - 1 49,0
8/5kp1/7p/2R2P1P/6K1/8/5P2/7r b - - 2 49,0
8/5kp1/7p/2R2P1P/6K1/8/5P2/6r1 w - - 3 50,0
8/5kp1/7p/2R2P1P/5K2/8/5P2/6r1 b - - 4 50,0
8/6p1/5k1p/2R2P1P/5K2/8/5P2/6r1 w - - 5 51,0
8/6p1/2R2k1p/5P1P/5K2/8/5P2/6r1 b - - 6 51,0
8/5kp1/2R4p/5P1P/5K2/8/5P2/6r1 w - - 7 52,0
8/2R2kp1/7p/5P1P/5K2/8/5P2/6r1 b - - 8 52,0
8/2R3p1/5k1p/5P1P/5K2/8/5P2/6r1 w - - 9 53,0
8/6p1/2R2k1p/5P1P/5K2/8/5P2/6r1 b - - 10 53,0
8/5kp1/2R4p/5P1P/5K2/8/5P2/6r1 w - - 11 54,0
8/2R2kp1/7p/5P1P/5K2/8/5P2/6r1 b - - 12 54,0
8/2R3p1/5k1p/5P1P/5K2/8/5P2/6r1 w - - 13 55,0
8/2R3p1/5k1p/5P1P/5K2/5P2/8/6r1 b - - 0 55,0
8/2R3p1/5k1p/5P1P/5K2/5P2/8/7r w - - 1 56,0
8/6p1/2R2k1p/5P1P/5K2/5P2/8/7r b - - 2 56,0
8/5kp1/2R4p/5P1P/5K2/5P2/8/7r w - - 3 57,0
8/2R2kp1/7p/5P1P/5K2/5P2/8/7r b - - 4 57,0
8/2R3p1/5k1p/5P1P/5K2/5P2/8/7r w - - 5 58,0
8/6p1/2R2k1p/5P1P/5K2/5P2/8/7r b - - 6 58,0
8/5kp1/2R4p/5P1P/5K2/5P2/8/7r w - - 7 59,0
2R5/5kp1/7p/5P1P/5K2/5P2/8/7r b - - 8 59,0
2R5/6p1/5k1p/5P1P/5K2/5P2/8/7r w - - 9 60,0
5R2/6p1/5k1p/5P1P/5K2/5P2/8/7r b - - 10 60,0
5R2/4k1p1/7p/5P1P/5K2/5P2/8/7r w - - 11 61,0
R7/4k1p1/7p/5P1P/5K2/5P2/8/7r b - - 12 61,0
R7/5kp1/7p/5P1P/5K2/5P2/8/7r w - - 13 62,0
2R5/5kp1/7p/5P1P/5K2/5P2/8/7r b - - 14 62,0
2R5/6p1/5k1p/5P1P/5K2/5P2/8/7r w - - 15 63,0
5R2/6p1/5k1p/5P1P/5K2/5P2/8/7r b - - 16 63,0
5R2/4k1p1/7p/5P1P/5K2/5P2/8/7r w - - 17 64,0
R7/4k1p1/7p/5P1P/5K2/5P2/8/7r b - - 18 64,0
R7/4k1p1/7p/5P1P/5K2/5P2/7r/8 w - - 19 65,0
R7/4k1p1/7p/5P1P/6K1/5P2/7r/8 b - - 20 65,0
R7/4k1p1/7p/5P1P/6K1/5P2/6r1/8 w - - 21 66,0
R7/4k1p1/7p/5P1P/5K2/5P2/6r1/8 b - - 22 66,0
R7/4k1p1/7p/5P1P/5K2/5P2/7r/8 w - - 23 67,0
8/4k1p1/7p/5P1P/5K2/5P2/7r/R7 b - - 24 67,0
8/4k1p1/7p/5P1r/5K2/5P2/8/R7 w - - 0 68,0
8/4k1p1/7p/4KP1r/8/5P2/8/R7 b - - 1 68,0
8/4k1p1/7p/4KP2/8/5P2/7r/R7 w - - 2 69,0
8/R3k1p1/7p/4KP2/8/5P2/7r/8 b - - 3 69,0
5k2/R5p1/7p/4KP2/8/5P2/7r/8 w - - 4 70,0
R4k2/6p1/7p/4KP2/8/5P2/7r/8 b - - 5 70,0
R7/4k1p1/7p/4KP2/8/5P2/7r/8 w - - 6 71,0
8/R3k1p1/7p/4KP2/8/5P2/7r/8 b - - 7 71,0
5k2/R5p1/7p/4KP2/8/5P2/7r/8 w - - 8 72,0
R4k2/6p1/7p/4KP2/8/5P2/7r/8 b - - 9 72,0
R7/5kp1/7p/4KP2/8/5P2/7r/8 w - - 10 73,0
8/R4kp1/7p/4KP2/8/5P2/7r/8 b - - 11 73,0
5k2/R5p1/7p/4KP2/8/5P2/7r/8 w - - 12 74,0
R4k2/6p1/7p/4KP2/8/5P2/7r/8 b - - 13 74,0
R7/4k1p1/7p/4KP2/8/5P2/7r/8 w - - 14 75,0
8/R3k1p1/7p/4KP2/8/5P2/7r/8 b - - 15 75,0
5k2/R5p1/7p/4KP2/8/5P2/7r/8 w - - 16 76,0
R4k2/6p1/7p/4KP2/8/5P2/7r/8 b - - 17 76,0
R7/5kp1/7p/4KP2/8/5P2/7r/8 w - - 18 77,0
8/R4kp1/7p/4KP2/8/5P2/7r/8 b - - 19 77,0
5k2/R5p1/7p/4KP2/8/5P2/7r/8 w - - 20 78,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-28
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,35
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-35
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,30
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-35
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,23
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,-17
r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,15
r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 0 5,-15
r1bq1rk1/pppp1ppp/2n2n2/1Bb1p3/4P3/2PP1N2/PP3PPP/RNBQK2R w KQ - 1 6,20
r1bq1rk1/pppp1ppp/2n2n2/1Bb1p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 b - - 2 6,-17
r1bq1rk1/ppp2ppp/2np1n2/1Bb1p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 w - - 0 7,23
r1bq1rk1/ppp2ppp/2np1n2/1Bb1p3/4P3/2PP1N1P/PP3PP1/RNBQ1RK1 b - - 0 7,-20
r1bq1rk1/ppp2ppp/1bnp1n2/1B2p3/4P3/2PP1N1P/PP3PP1/RNBQ1RK1 w - - 1 8,22
r1bq1rk1/ppp2ppp/1bnp1n2/1B2p3/4P3/2PP1N1P/PP3PP1/RNBQR1K1 b - - 2 8,-22
r1bq1rk1/ppp1nppp/1b1p1n2/1B2p3/4P3/2PP1N1P/PP3PP1/RNBQR1K1 w - - 3 9,32
r1bq1rk1/ppp1nppp/1b1p1n2/1B2p3/3PP3/2P2N1P/PP3PP1/RNBQR1K1 b - - 0 9,-25
r1bq1rk1/pp2nppp/1bpp1n2/1B2p3/3PP3/2P2N1P/PP3PP1/RNBQR1K1 w - - 0 10,26
r1bq1rk1/pp2nppp/1bpp1n2/4p3/3PP3/2PB1N1P/PP3PP1/RNBQR1K1 b - - 1 10,-25
r1bq1rk1/pp3ppp/1bpp1nn1/4p3/3PP3/2PB1N1P/PP3PP1/RNBQR1K1 w - - 2 11,22
r1bq1rk1/pp3ppp/1bpp1nn1/4p3/3PP3/2PB1N1P/PP1N1PP1/R1BQR1K1 b - - 3 11,-17
r1bqr1k1/pp3ppp/1bpp1nn1/4p3/3PP3/2PB1N1P/PP1N1PP1/R1BQR1K1 w - - 4 12,22
r1bqr1k1/pp3ppp/1bpp1nn1/4p3/P2PP3/2PB1N1P/1P1N1PP1/R1BQR1K1 b - - 0 12,-18
r1bqr1k1/ppb2ppp/2pp1nn1/4p3/P2PP3/2PB1N1P/1P1N1PP1/R1BQR1K1 w - - 1 13,15
r1bqr1k1/ppb2ppp/2pp1nn1/4p3/P2PP3/2P2N1P/1P1N1PP1/R1BQRBK1 b - - 2 13,-10
r1bqr1k1/ppb2pp1/2pp1nnp/4p3/P2PP3/2P2N1P/1P1N1PP1/R1BQRBK1 w - - 0 14,22
r1bqr1k1/ppb2pp1/2pp1nnp/4p3/P2PP3/2P2N1P/1PQN1PP1/R1B1RBK1 b - - 1 14,-21
r1bqr1k1/ppb2ppn/2pp2np/4p3/P2PP3/2P2N1P/1PQN1PP1/R1B1RBK1 w - - 2 15,23
r1bqr1k1/ppb2ppn/2pp2np/4P3/P3P3/2P2N1P/1PQN1PP1/R1B1RBK1 b - - 0 15,-21
r1bqr1k1/ppb2ppn/2p3np/4p3/P3P3/2P2N1P/1PQN1PP1/R1B1RBK1 w - - 0 16,22
r1bqr1k1/ppb2ppn/2p3np/4p3/PP2P3/2P2N1P/2QN1PP1/R1B1RBK1 b - - 0 16,-16
r1bqr1k1/ppb2ppn/2p4p/4p3/PP2Pn2/2P2N1P/2QN1PP1/R1B1RBK1 w - - 1 17,15
r1bqr1k1/ppb2ppn/2p4p/P3p3/1P2Pn2/2P2N1P/2QN1PP1/R1B1RBK1 b - - 0 17,-15
r1b1r1k1/ppb2ppn/2p2q1p/P3p3/1P2Pn2/2P2N1P/2QN1PP1/R1B1RBK1 w - - 1 18,12
r1b1r1k1/ppb2ppn/2p2q1p/P3p3/1PP1Pn2/5N1P/2QN1PP1/R1B1RBK1 b - - 0 18,-4
r3r1k1/ppb2ppn/2p1bq1p/P3p3/1PP1Pn2/5N1P/2QN1PP1/R1B1RBK1 w - - 1 19,3
r3r1k1/ppb2ppn/P1p1bq1p/4p3/1PP1Pn2/5N1P/2QN1PP1/R1B1RBK1 b - - 0 19,11
r3r1k1/p1b2ppn/Ppp1bq1p/4p3/1PP1Pn2/5N1P/2QN1PP1/R1B1RBK1 w - - 0 20,-22
r3r1k1/p1b2ppn/Ppp1bq1p/4p3/1PP1Pn2/7P/2QN1PPN/R1B1RBK1 b - - 1 20,30
3rr1k1/p1b2ppn/Ppp1bq1p/4p3/1PP1Pn2/7P/2QN1PPN/R1B1RBK1 w - - 2 21,-39
3rr1k1/p1b2ppn/Ppp1bq1p/4p3/1PP1Pn2/7P/2QN1PPN/R1B1RB1K b - - 3 21,52
3rr1k1/p1b2ppn/Ppp1bq2/4p2p/1PP1Pn2/7P/2QN1PPN/R1B1RB1K w - - 0 22,-49
3rr1k1/p1b2ppn/Ppp1bq2/4p2p/1PP1Pn2/1N5P/2Q2PPN/R1B1RB1K b - - 1 22,67
4r1k1/p1br1ppn/Ppp1bq2/4p2p/1PP1Pn2/1N5P/2Q2PPN/R1B1RB1K w - - 2 23,-61
4r1k1/p1br1ppn/Ppp1bq2/4p2p/1PP1Pn2/1N2B2P/2Q2PPN/R3RB1K b - - 3 23,85
4r1k1/p1br1p1n/Ppp1bq2/4p1pp/1PP1Pn2/1N2B2P/2Q2PPN/R3RB1K w - - 0 24,-78
4r1k1/p1br1p1n/Ppp1bq2/4p1pp/1PP1Pn2/1N2B2P/2Q2PPN/3RRB1K b - - 1 24,78
4r1k1/p1b2p1n/Ppp1bq2/4p1pp/1PP1Pn2/1N2B2P/2Q2PPN/3rRB1K w - - 0 25,-82
4r1k1/p1b2p1n/Ppp1bq2/4p1pp/1PP1Pn2/1N2B2P/2Q2PPN/3R1B1K b - - 0 25,75
4r1k1/p1b2p1n/Ppp1bq2/4p2p/1PP1Pnp1/1N2B2P/2Q2PPN/3R1B1K w - - 0 26,-80
4r1k1/p1b2p1n/Ppp1bq2/4p2p/1PP1Pnp1/4B2P/2QN1PPN/3R1B1K b - - 1 26,72
4r1k1/p1b2p1n/Ppp1b1q1/4p2p/1PP1Pnp1/4B2P/2QN1PPN/3R1B1K w - - 2 27,-71
4r1k1/p1b2p1n/Ppp1b1q1/4p2p/1PP1PnpP/4B3/2QN1PPN/3R1B1K b - - 0 27,71
3r2k1/p1b2p1n/Ppp1b1q1/4p2p/1PP1PnpP/4B3/2QN1PPN/3R1B1K w - - 1 28,-67
3r2k1/p1b2p1n/Ppp1b1q1/4p2p/1PP1PnpP/4B1P1/2QN1P1N/3R1B1K b - - 0 28,59
3r2k1/p1b2p2/Ppp1bnq1/4p2p/1PP1PnpP/4B1P1/2QN1P1N/3R1B1K w - - 1 29,-61
3r2k1/p1b2p2/Ppp1bnq1/4p2p/1PP1PnpP/4B1P1/2QN1P1N/4RB1K b - - 2 29,60
2br2k1/p1b2p2/Ppp2nq1/4p2p/1PP1PnpP/4B1P1/2QN1P1N/4RB1K w - - 3 30,-24
2br2k1/p1b2p2/Ppp2nq1/4p2p/1PP1PnpP/2Q1B1P1/3N1P1N/4RB1K b - - 4 30,43
2br2k1/p1b2p2/Ppp1nnq1/4p2p/1PP1P1pP/2Q1B1P1/3N1P1N/4RB1K w - - 5 31,-33
2br2k1/p1b2p2/Ppp1nnq1/2P1p2p/1P2P1pP/2Q1B1P1/3N1P1N/4RB1K b - - 0 31,54
2br2k1/p1b2p2/Ppp2nq1/2P1p2p/1P1nP1pP/2Q1B1P1/3N1P1N/4RB1K w - - 1 32,-53
2br2k1/p1b2p2/Ppp2nq1/2P1p2p/1P1nP1pP/2Q1B1P1/3N1P1N/4RBK1 b - - 2 32,53
3r2k1/p1b2p2/Ppp1bnq1/2P1p2p/1P1nP1pP/2Q1B1P1/3N1P1N/4RBK1 w - - 3 33,-52
3r2k1/p1b2p2/Ppp1bnq1/2P1p2p/1P1nP1pP/2QBB1P1/3N1P1N/4R1K1 b - - 4 33,62
3r2k1/p1b2p2/P1p1bnq1/1pP1p2p/1P1nP1pP/2QBB1P1/3N1P1N/4R1K1 w - - 0 34,-64
3r2k1/p1b2p2/P1p1bnq1/1pP1p2p/1P1nP1pP/2Q1B1P1/3N1P1N/1B2R1K1 b - - 1 34,64
3r2k1/p1b2p1n/P1p1b1q1/1pP1p2p/1P1nP1pP/2Q1B1P1/3N1P1N/1B2R1K1 w - - 2 35,-59
3r2k1/p1b2p1n/P1p1b1q1/1pP1p2p/1P1nP1pP/Q3B1P1/3N1P1N/1B2R1K1 b - - 3 35,80
3r2k1/p1b2pqn/P1p1b3/1pP1p2p/1P1nP1pP/Q3B1P1/3N1P1N/1B2R1K1 w - - 4 36,-85
3r2k1/p1b2pqn/P1p1b3/1pP1p2p/1P1nP1pP/Q3B1P1/3N1P2/1B2RNK1 b - - 5 36,85
3r1nk1/p1b2pq1/P1p1b3/1pP1p2p/1P1nP1pP/Q3B1P1/3N1P2/1B2RNK1 w - - 6 37,-88
3r1nk1/p1b2pq1/P1p1b3/1pP1p1Bp/1P1nP1pP/Q5P1/3N1P2/1B2RNK1 b - - 7 37,98
5nk1/p1br1pq1/P1p1b3/1pP1p1Bp/1P1nP1pP/Q5P1/3N1P2/1B2RNK1 w - - 8 38,-86
5nk1/p1br1pq1/P1p1b3/1pP1p1Bp/1P1nP1pP/Q5P1/3N1PK1/1B2RN2 b - - 9 38,102
6k1/p1br1pq1/P1p1b1n1/1pP1p1Bp/1P1nP1pP/Q5P1/3N1PK1/1B2RN2 w - - 10 39,-124
6k1/p1br1pq1/P1p1b1n1/1pP1p1Bp/1P1nP1pP/Q3N1P1/3N1PK1/1B2R3 b - - 11 39,120
6k1/p1br1pq1/P1p1b3/1pP1p1Bp/1P1nPnpP/Q3N1P1/3N1PK1/1B2R3 w - - 12 40,-133
6k1/p1br1pq1/P1p1b3/1pP1p1Bp/1P1nPPpP/Q3N3/3N1PK1/1B2R3 b - - 0 40,125
6k1/p1br1pq1/P1p1b3/1pP3Bp/1P1nPppP/Q3N3/3N1PK1/1B2R3 w - - 0 41,-131
6k1/p1br1pq1/P1p1b3/1pP2NBp/1P1nPppP/Q7/3N1PK1/1B2R3 b - - 1 41,139
6k1/p1br1p2/P1p1b3/1pP1qNBp/1P1nPppP/Q7/3N1PK1/1B2R3 w - - 2 42,-122
6k1/p1br1p2/P1pNb3/1pP1q1Bp/1P1nPppP/Q7/3N1PK1/1B2R3 b - - 3 42,126
6k1/p1b2p2/P1prb3/1pP1q1Bp/1P1nPppP/Q7/3N1PK1/1B2R3 w - - 0 43,-82
6k1/p1b2p2/P1pPb3/1p2q1Bp/1P1nPppP/Q7/3N1PK1/1B2R3 b - - 0 43,157
6k1/p1b2p2/P1pPb3/1p2q1Bp/1P1nP1pP/Q4p2/3N1PK1/1B2R3 w - - 0 44,-182
6k1/p1b2p2/P1pPb3/1p2q1Bp/1P1nP1pP/Q4p2/3N1P2/1B2R2K b - - 1 44,167
6k1/p4p2/P1pbb3/1p2q1Bp/1P1nP1pP/Q4p2/3N1P2/1B2R2K w - - 0 45,-130
6k1/p4p2/P1pbb3/1p2q1Bp/1P1nP1pP/Q4p2/5P2/1B2RN1K b - - 1 45,174
6k1/p4p2/P1pb4/1p2q1Bp/1PbnP1pP/Q4p2/5P2/1B2RN1K w - - 2 46,-167
6k1/p4p2/P1pb4/1p2q1Bp/1PbnP1pP/Q2B1p2/5P2/4RN1K b - - 3 46,172
6k1/p4p2/P1pb4/1p2q1Bp/1Pb1P1pP/Q2B1p2/2n2P2/4RN1K w - - 4 47,-189
6k1/p4p2/P1pb4/Qp2q1Bp/1Pb1P1pP/3B1p2/2n2P2/4RN1K b - - 5 47,184
6k1/p1b2p2/P1p5/Qp2q1Bp/1Pb1P1pP/3B1p2/2n2P2/4RN1K w - - 6 48,-212
6k1/p1Q2p2/P1p5/1p2q1Bp/1Pb1P1pP/3B1p2/2n2P2/4RN1K b - - 0 48,213
6k1/p1q2p2/P1p5/1p4Bp/1Pb1P1pP/3B1p2/2n2P2/4RN1K w - - 0 49,-250
6k1/p1q2p2/P1p5/1p4Bp/1Pb1P1pP/5p2/2B2P2/4RN1K b - - 0 49,262
6k1/p1q2p2/P1p5/1p4Bp/1P2P1pP/5p2/2B2P2/4Rb1K w - - 0 50,-260
6k1/p1q2p2/P1p5/1p4Bp/1P2P1pP/5p2/2B2P2/5R1K b - - 0 50,246
6k1/p1q2p2/P1p5/1p4Bp/1P2P2P/5pp1/2B2P2/5R1K w - - 0 51,-261
